epoch,error,step,train_loss,val_loss
0,,7,,0.0034872605465352535
1,,15,,0.0024997517466545105
2,,23,,0.001810847083106637
3,,31,,0.0013149563455954194
4,,39,,0.0009552108822390437
5,,47,,0.0006930196541361511
6,1.6148265600204468,49,0.0006586693925783038,
6,,55,,0.0005035595968365669
7,,63,,0.0003694801707752049
8,,71,,0.0002750671992544085
9,,79,,0.00020928865706082433
10,,87,,0.00016428346862085164
11,,95,,0.0001332548854406923
12,1.8910857439041138,99,0.00013477224274538457,
12,,103,,0.00011407273268559948
13,,111,,0.00010277626279275864
14,,119,,9.604703518562019e-05
15,,127,,9.123567724600434e-05
16,,135,,8.879647793946788e-05
17,,143,,8.754333248361945e-05
18,5.541357517242432,149,5.3537874919129536e-05,
18,,151,,8.691463153809309e-05
19,,159,,8.659787999931723e-05
20,,167,,8.633761171950027e-05
21,,175,,8.626359340269119e-05
22,,183,,8.619514119345695e-05
23,,191,,8.632108801975846e-05
24,0.9702261686325073,199,9.762423724168912e-05,
24,,199,,8.636993879918009e-05
25,,207,,8.611218800069764e-05
26,,215,,8.60901054693386e-05
27,,223,,8.624883048469201e-05
28,,231,,8.606687333667651e-05
29,,239,,8.602561865700409e-05
30,,247,,8.615744445705786e-05
31,8.214844703674316,249,9.730401507113129e-05,
31,,255,,8.618769788881764e-05
32,,263,,8.609511860413477e-05
33,,271,,8.603272726759315e-05
34,,279,,8.604988397564739e-05
35,,287,,8.588166383560747e-05
36,,295,,8.588765922468156e-05
37,3.2371957302093506,299,8.154668466886505e-05,
37,,303,,8.582715963711962e-05
38,,311,,8.587363117840141e-05
39,,319,,8.618157880846411e-05
