epoch,error,step,train_loss,val_loss
0,,7,,0.005797084420919418
1,,15,,0.0026663250755518675
2,,23,,0.0003777295642066747
3,,31,,0.0002888120652642101
4,,39,,0.0004078066849615425
5,,47,,0.00019355198310222477
6,1.9789036512374878,49,0.00020191684598103166,
6,,55,,0.00010128608118975535
7,,63,,8.563815208617598e-05
8,,71,,7.810896931914613e-05
9,,79,,6.900790322106332e-05
10,,87,,5.100337148178369e-05
11,,95,,4.537457425612956e-05
12,3.3600058555603027,99,2.751933061517775e-05,
12,,103,,3.687015487230383e-05
13,,111,,4.020370761281811e-05
14,,119,,3.105438736383803e-05
15,,127,,2.853440491890069e-05
16,,135,,2.655371281434782e-05
17,,143,,2.4657429094077088e-05
18,2.8080124855041504,149,5.6121236411854625e-05,
18,,151,,2.35618936130777e-05
19,,159,,2.787446828733664e-05
20,,167,,2.4177448722184636e-05
21,,175,,2.2626771169598214e-05
22,,183,,2.154023968614638e-05
23,,191,,2.1678641132893972e-05
24,1.4409127235412598,199,2.445705604259274e-06,
24,,199,,2.101380960084498e-05
25,,207,,2.0993027646909468e-05
26,,215,,2.1043206288595684e-05
27,,223,,2.075943302770611e-05
28,,231,,2.8318012482486665e-05
29,,239,,2.8022832339047454e-05
30,,247,,2.955963645945303e-05
31,1.1142032146453857,249,2.139147363777738e-05,
31,,255,,2.6945559511659667e-05
32,,263,,1.9503944713505916e-05
33,,271,,2.0459696315811016e-05
34,,279,,1.9575392798287794e-05
35,,287,,1.938280911417678e-05
36,,295,,1.872175016615074e-05
37,1.129163384437561,299,1.8238844859297387e-05,
37,,303,,1.9996281480416656e-05
