epoch,error,step,train_loss
0,1.0097419586828951e-28,49,9.413653060619254e-06
0,1.0097419586828951e-28,99,1.261045241562897e-07
0,1.0097419586828951e-28,149,2.4945726040392913e-11
0,1.0097419586828951e-28,199,2.960529607923257e-12
0,1.0097419586828951e-28,249,2.2814459739797788e-14
0,1.0097419586828951e-28,299,1.4596071747086103e-16
0,1.0097419586828951e-28,349,8.05020113070487e-18
0,1.0097419586828951e-28,399,5.014435047745458e-18
0,1.0097419586828951e-28,449,2.4123498337802474e-18
0,1.0097419586828951e-28,499,2.4123498337802474e-18
